LW_Sub1_ProdTrip,LW_Sub1_ProdTrip,Conveyor Tripped,LW_Sub1_ProdTrip,NOT LW_Sub1_OOS,Alm_Prod,LW_Sub1_Power,Priv_Alarm,Area_LW_Sub1,Conveyor Tripped,,,LW903 Sub1,,,,,,,,LW1_Cl,,,,,,LW1.Sub1,,
LW_Sub1_Reset_C,LW_Sub1_Reset_C,SCADA Reset Command,LW_Sub1_Reset_C,NOT LW_Sub1_OOS,Alm_Event,LW_Sub1_Power,Priv_Alarm,Area_LW_Sub1,SCADA Reset Command,,,LW903 Sub1,,,,,,,,LW1_Cl,,,,,,LW1.Sub1,,
LW_Sub1_ResetPB,LW_Sub1_ResetPB,Local Reset Push Button,LW_Sub1_ResetPB,NOT LW_Sub1_OOS,Alm_Event,LW_Sub1_Power,Priv_Alarm,Area_LW_Sub1,Local Reset Push Button,,,LW903 Sub1,,,,,,,,LW1_Cl,,,,,,LW1.Sub1,,
LW_Sub1_Transformer_LTDoorLimits_SR_t,LW_Sub1_Transformer_LTDoorLimits_SR_t,Transformer LT Door Limits Safety Relay Trip,LW_Sub1_Transformer_LTDoorLimits_SR_t,NOT LW_Sub1_OOS,Alm_Trip,LW_Sub1_Power,Priv_Alarm,Area_LW_Sub1,Transformer LT Door Limits Safety Relay Trip,,,LW903 Sub1,,,,,,,,LW1_Cl,,,,,,LW1.Sub1,,
LW_Sub1_240V_NER_ISO_OPN_T,LW_Sub1_240V_NER_ISO_OPN_T,240V NER Switch Open,LW_Sub1_240V_NER_ISO_OPN_T,NOT LW_Sub1_OOS,Alm_Trip,LW_Sub1_Power,Priv_Alarm,Area_LW_Sub1,240V NER Switch Open,,,LW903 Sub1,,,,,,,,LW1_Cl,,,,,,LW1.Sub1,,
LW_Sub1_BUEL_240V_T,LW_Sub1_BUEL_240V_T,240V BUEL Tripped,LW_Sub1_BUEL_240V_T,NOT LW_Sub1_OOS,Alm_Trip,LW_Sub1_Power,Priv_Alarm,Area_LW_Sub1,240V BUEL Tripped,,,LW903 Sub1,,,,,,,,LW1_Cl,,,,,,LW1.Sub1,,
LW_Sub1_CB_240V_OPN_W,LW_Sub1_CB_240V_OPN_W,240V CB Open,LW_Sub1_CB_240V_OPN_W,NOT LW_Sub1_OOS,Alm_Trip,LW_Sub1_Power,Priv_Alarm,Area_LW_Sub1,240V CB Open,,,LW903 Sub1,,,,,,,,LW1_Cl,,,,,,LW1.Sub1,,
LW_Sub1_Face_CB_ESW_CLSD_W,LW_Sub1_Face_CB_ESW_CLSD_W,Face CB Earth Switch Closed,LW_Sub1_Face_CB_ESW_CLSD_W,NOT LW_Sub1_OOS,Alm_Trip,LW_Sub1_Power,Priv_Alarm,Area_LW_Sub1,Face CB Earth Switch Closed,,,LW903 Sub1,,,,,,,,LW1_Cl,,,,,,LW1.Sub1,,
LW_Sub1_MC_240V_OPN_W,LW_Sub1_MC_240V_OPN_W,240V MC Open,LW_Sub1_MC_240V_OPN_W,NOT LW_Sub1_OOS,Alm_Trip,LW_Sub1_Power,Priv_Alarm,Area_LW_Sub1,240V MC Open,,,LW903 Sub1,,,,,,,,LW1_Cl,,,,,,LW1.Sub1,,
LW_Sub1_TXF_CB_CLO_c_CMD_i,LW_Sub1_TXF_CB_CLO_c_CMD_i,Transformer CB SCADA Close,LW_Sub1_TXF_CB_CLO_c_CMD_i,NOT LW_Sub1_OOS,Alm_Event,LW_Sub1_Power,Priv_Alarm,Area_LW_Sub1,Transformer CB SCADA Close,,,LW903 Sub1,,,,,,,,LW1_Cl,,,,,,LW1.Sub1,,
LW_Sub1_TXF_CB_OPN_c_CMD_i,LW_Sub1_TXF_CB_OPN_c_CMD_i,Transformer CB SCADA Open,LW_Sub1_TXF_CB_OPN_c_CMD_i,NOT LW_Sub1_OOS,Alm_Event,LW_Sub1_Power,Priv_Alarm,Area_LW_Sub1,Transformer CB SCADA Open,,,LW903 Sub1,,,,,,,,LW1_Cl,,,,,,LW1.Sub1,,
LW_Sub1_TXF_CB_Tst_UV_c_CMD_i,LW_Sub1_TXF_CB_Tst_UV_c_CMD_i,Transformer CB UV Trip Test,LW_Sub1_TXF_CB_Tst_UV_c_CMD_i,NOT LW_Sub1_OOS,Alm_Event,LW_Sub1_Power,Priv_Alarm,Area_LW_Sub1,Transformer CB UV Trip Test,,,LW903 Sub1,,,,,,,,LW1_Cl,,,,,,LW1.Sub1,,
LW_Sub1_TXF_CB_Tst_ST_c_CMD_i,LW_Sub1_TXF_CB_Tst_ST_c_CMD_i,Transformer CB ST Trip Test,LW_Sub1_TXF_CB_Tst_ST_c_CMD_i,NOT LW_Sub1_OOS,Alm_Event,LW_Sub1_Power,Priv_Alarm,Area_LW_Sub1,Transformer CB ST Trip Test,,,LW903 Sub1,,,,,,,,LW1_Cl,,,,,,LW1.Sub1,,
LW_Sub1_UFES_RDY_t,LW_Sub1_UFES_RDY_t,Transformer UFES Ready Trip,LW_Sub1_UFES_RDY_t,NOT LW_Sub1_OOS,Alm_Trip,LW_Sub1_Power,Priv_Alarm,Area_LW_Sub1,Transformer UFES Ready Trip,,,LW903 Sub1,,,,,,,,LW1_Cl,,,,,,LW1.Sub1,,
LW_Sub1_UFES_BLKD_t,LW_Sub1_UFES_BLKD_t,Transformer UFES Blocked Trip,LW_Sub1_UFES_BLKD_t,NOT LW_Sub1_OOS,Alm_Trip,LW_Sub1_Power,Priv_Alarm,Area_LW_Sub1,Transformer UFES Blocked Trip,,,LW903 Sub1,,,,,,,,LW1_Cl,,,,,,LW1.Sub1,,
