NAME,TYPE,UNIT,ADDR,RAW_ZERO,RAW_FULL,ENG_ZERO,ENG_FULL,ENG_UNITS,FORMAT,COMMENT,CLUSTER,EQUIP,ITEM,TAGGENLINK,LINKED,EDITCODE,HISTORIAN,CUSTOM1,CUSTOM2,CUSTOM3,CUSTOM4,CUSTOM5,CUSTOM6,CUSTOM7,CUSTOM8,WRITEROLES,GUID,CUSTOM,DEADBAND,OID,REF1,REF2
"LW_Sub1_Cisco_402N1_Status_P5","DIGITAL","LW_Sub1_CLX","AQLW_SS01_402N1:I1.Data[1]/5","","","","","","","Cisco - N1 - Ethernet Port 5 Status","LW1_Cl","LW1.Sub1","","","","","","LW903 Sub1","Cisco","","","","","","","","b275936d-e525-4713-358c-6874451b77d4","","","0x0012d8d0","",""
"LW_Sub1_Cisco_402N1_Status_P6","DIGITAL","LW_Sub1_CLX","AQLW_SS01_402N1:I1.Data[1]/6","","","","","","","Cisco - N1 - Ethernet Port 6 Status","LW1_Cl","LW1.Sub1","","","","","","LW903 Sub1","Cisco","","","","","","","","673a2319-857e-4535-6ba2-2d33933ac0b8","","","0x0012d8e0","",""
"LW_Sub1_Cisco_402N1_Status_P7","DIGITAL","LW_Sub1_CLX","AQLW_SS01_402N1:I1.Data[1]/7","","","","","","","Cisco - N1 - Ethernet Port 7 Status","LW1_Cl","LW1.Sub1","","","","","","LW903 Sub1","Cisco","","","","","","","","5224293d-9646-4965-2db0-04a8717a9a62","","","0x0012d8f0","",""
"LW_Sub1_Cisco_402N1_Status_P8","DIGITAL","LW_Sub1_CLX","AQLW_SS01_402N1:I1.Data[1]/8","","","","","","","Cisco - N1 - Ethernet Port 8 Status","LW1_Cl","LW1.Sub1","","","","","","LW903 Sub1","Cisco","","","","","","","","5159bc0a-cca1-4576-fd8f-01a764524629","","","0x0012d900","",""
"LW_Sub1_Cisco_402N1_Status_P9","DIGITAL","LW_Sub1_CLX","AQLW_SS01_402N1:I1.Data[1]/9","","","","","","","Cisco - N1 - Ethernet Port 9 Status","LW1_Cl","LW1.Sub1","","","","","","LW903 Sub1","Cisco","","","","","","","","2934391f-dadf-4a51-3280-a05cef8e3d1f","","","0x0012d910","",""
"LW_Sub1_Cisco_402N2_Status_ConnectionFaulted","DIGITAL","LW_Sub1_CLX","AQLW_SS01_402N1:I1.ConnectionFaulted","","","","","","","Cisco - Connection Faulted","LW1_Cl","LW1.Sub1","","","","","","LW903 Sub1","Cisco","Alm_Warning","","","","","","","ddfa2314-7adf-43e0-40a1-1684c677f415","","","0x0012d9b0","",""
"LW_Sub1_Cisco_402N2_Status_P1","DIGITAL","LW_Sub1_CLX","AQLW_SS01_402N1:I1.Data[1]/11","","","","","","","Cisco - N2 - Ethernet Port 1 Status","LW1_Cl","LW1.Sub1","","","","","","LW903 Sub1","Cisco","","","","","","","","6e86ad7e-be84-4a66-2eb2-808f67348774","","","0x0012d930","",""
"LW_Sub1_Cisco_402N2_Status_P2","DIGITAL","LW_Sub1_CLX","AQLW_SS01_402N1:I1.Data[1]/12","","","","","","","Cisco - N2 - Ethernet Port 2 Status","LW1_Cl","LW1.Sub1","","","","","","LW903 Sub1","Cisco","","","","","","","","40477189-a1c6-4465-d182-a6f457324acc","","","0x0012d940","",""
"LW_Sub1_Cisco_402N2_Status_P3","DIGITAL","LW_Sub1_CLX","AQLW_SS01_402N1:I1.Data[1]/13","","","","","","","Cisco - N2 - Ethernet Port 3 Status","LW1_Cl","LW1.Sub1","","","","","","LW903 Sub1","Cisco","","","","","","","","e3e77025-9be9-45b6-219f-a490b7dd4be6","","","0x0012d950","",""
"LW_Sub1_Cisco_402N2_Status_P4","DIGITAL","LW_Sub1_CLX","AQLW_SS01_402N1:I1.Data[1]/14","","","","","","","Cisco - N2 - Ethernet Port 4 Status","LW1_Cl","LW1.Sub1","","","","","","LW903 Sub1","Cisco","","","","","","","","b7e70c69-8000-4bd0-88a0-eba570c6c2e3","","","0x0012d960","",""
